Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify after modification the updated ""Payment method"" should be saved and the changed value are reflected in the Affiliate list.",AF-91,10119,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 8:14 AM,08/Sep/21 6:33 PM,08/Sep/21 8:38 AM,08/Sep/21 6:33 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000pj:,,AF Sprint 1,,,,,,,,Done
"Verify ""Tax ID"" field values appears the same as while creation of record on during modification by default.",AF-90,10118,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 8:03 AM,08/Sep/21 6:33 PM,08/Sep/21 8:15 AM,08/Sep/21 6:33 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000pb:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""commission"" should be saved and the changed value are reflected in the Affiliate list.",AF-89,10117,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 8:01 AM,08/Sep/21 6:32 PM,08/Sep/21 8:14 AM,08/Sep/21 6:32 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000p3:,,AF Sprint 1,,,,,,,,Done
"Verify ""Commission"" field values appears the same as while creation of record on during modification by default.",AF-88,10116,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 7:53 AM,08/Sep/21 6:32 PM,08/Sep/21 6:32 PM,08/Sep/21 6:32 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000ov:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Region/State"" should be saved and the changed value are reflected in the Affiliate list.",AF-87,10115,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:26 AM,08/Sep/21 6:32 PM,08/Sep/21 8:01 AM,08/Sep/21 6:32 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000on:,,AF Sprint 1,,,,,,,,Done
"Verify ""Region/State"" field values appears the same as while creation of record on during modification by default.",AF-86,10114,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:25 AM,08/Sep/21 6:25 PM,08/Sep/21 7:52 AM,08/Sep/21 6:25 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000of:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Country"" should be saved and the changed value are reflected in the Affiliate list.",AF-85,10113,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:23 AM,08/Sep/21 6:31 PM,08/Sep/21 6:26 AM,08/Sep/21 6:31 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000o7:,,AF Sprint 1,,,,,,,,Done
"Verify ""Country"" field values appears the same as while creation of record on during modification by default.",AF-84,10112,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:22 AM,08/Sep/21 6:32 PM,08/Sep/21 6:24 AM,08/Sep/21 6:32 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000nz:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""City"" should be saved and the changed value are reflected in the Affiliate list.",AF-83,10111,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:14 AM,08/Sep/21 6:32 PM,08/Sep/21 6:23 AM,08/Sep/21 6:32 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000nr:,,AF Sprint 1,,,,,,,,Done
"Verify ""City"" field values appears the same as while creation of record on during modification by default.",AF-82,10110,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:13 AM,08/Sep/21 6:24 PM,08/Sep/21 6:22 AM,08/Sep/21 6:24 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000nj:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Postcode"" number should be saved and the changed value are reflected in the Affiliate list.",AF-81,10109,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:10 AM,08/Sep/21 6:25 PM,08/Sep/21 6:14 AM,08/Sep/21 6:25 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000nb:,,AF Sprint 1,,,,,,,,Done
"Verify ""Postcode"" field values appears the same as while creation of record on during modification by default.",AF-80,10108,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:09 AM,08/Sep/21 6:32 PM,08/Sep/21 6:31 PM,08/Sep/21 6:32 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000n3:,,AF Sprint 1,,,,,,,,Done
"Verify after modification the updated ""Address"" number should be saved and the changed value are reflected in the Affiliate list.",AF-79,10107,Test,Done,AF,Affiliates,software,NIMISHA BHOIR,607d77eb739dd40069880655,,Medium,Done,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,NIMISHA BHOIR,607d77eb739dd40069880655,08/Sep/21 6:06 AM,08/Sep/21 6:30 PM,08/Sep/21 6:11 AM,08/Sep/21 6:30 PM,,0,,,NIMISHA BHOIR,607d77eb739dd40069880655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,AF-2,,,,,0|i000mv:,,AF Sprint 1,,,,,,,,Done
